Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
STK,STK EMERGENT,200,67.0,6.35,67.0,67.0,67.0,67.0,1,67.0,1,74.0,59.0,2023-04-02
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.8,0.9,18.77,18.8,18.7,18.7868,9603,180410.522,134,18.876,15.86,2023-04-03
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.17,0.82,5.128,5.17,5.128,5.1502,2267,11675.552,25,5.327,4.903,2023-04-03
STK,STK EMERGENT,200,67.5,0.75,67.0,67.5,67.0,67.0033,150,10050.5,3,74.0,59.0,2023-04-03
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.83,0.87,18.85,18.866,18.8,18.8423,11447,215688.148,162,18.876,15.86,2023-04-04
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.205,0.68,5.17,5.205,5.17,5.1842,4442,23028.585,43,5.327,4.903,2023-04-04
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.88,0.39,18.83,18.88,18.72,18.826,6350,119545.212,122,18.88,15.86,2023-04-05
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.2,-0.1,5.21,5.21,5.18,5.1929,2222,11538.679,23,5.327,4.903,2023-04-05
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.79,0.62,18.88,18.88,18.726,18.8232,7191,135357.772,113,18.88,15.86,2023-04-06
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.206,0.12,5.18,5.206,5.132,5.162,6607,34105.53,34,5.327,4.903,2023-04-06
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.726,-0.12,18.77,18.816,18.664,18.7257,11046,206844.236,122,18.88,15.86,2023-04-07
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.15,-1.08,5.206,5.206,5.15,5.1684,1630,8424.557,20,5.327,4.903,2023-04-07
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.82,0.05,18.878,18.878,18.65,18.7415,7590,142248.128,108,18.88,15.86,2023-04-08
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.188,0.74,5.15,5.192,5.131,5.142,1045,5373.395,14,5.327,4.903,2023-04-08
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.828,-1.03,18.86,18.88,18.8,18.8464,12556,236635.42,132,18.88,15.86,2023-04-09
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.17,-0.35,5.188,5.191,5.151,5.18,1596,8267.357,19,5.327,4.903,2023-04-09
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.81,-1.15,18.882,18.882,18.78,18.8246,11319,213076.764,115,18.88,15.86,2023-04-10
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.185,0.29,5.17,5.185,5.17,5.1721,2233,11549.45,10,5.327,4.903,2023-04-10
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.882,1.2,18.81,18.882,18.6,18.8222,13427,252725.85,166,18.882,15.86,2023-04-11
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.185,0.0,5.19,5.19,5.136,5.1423,14271,73386.532,39,5.327,4.903,2023-04-11
